catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/15995,Australia,Tasmania,-42.54686,146.84851,Tasmanian South East,South East,467,20,646,16.602636,14.1,48,11.5,23.2,11.995833,23.3,0.57,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401590,Australia,New South Wales,-33.8003,150.67038,Sydney Basin,Cumberland,800,36,857,34.25506,17,33,17.4,26.2,17.1,24.4,0.56,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/12473,Australia,Australian Capital Territory,-35.42325,148.796767,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/7900,Australia,Western Australia,-34.08451,118.850197,Esperance Plains,Fitzgerald,426,30,414,31.125282,17.4,37,15.8,21.6,15.929167,21.9,0.37,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8523,Australia,Northern Territory,-12.70607,132.84315,Pine Creek,Pine Creek,1450,114,1495,113.466446,21.2,10,28.2,19.8,28.054167,18.800001,0.49,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/12447,Australia,Tasmania,-42.6793,146.6711,Tasmanian Southern Ranges,Southern Ranges,1170,21,1280,19.917757,12.3,51,8.6,19.4,8.191667,17.5,0.96,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),Eucalypt tall open forests
102.100.100/10716,Australia,South Australia,-34.05624,140.7354,Riverina,Murray Scroll Belt,246,28,267,24.885826,18.5,38,17.5,28.4,17.6125,28,0.18,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/12878,Australia,Northern Territory,-12.93256,135.20189,Central Arnhem,Wilton,1253,111,1170,108.796646,21,15,26.8,17.4,26.85,18.9,0.48,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus woodlands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt woodlands
102.100.100/8160,Australia,Northern Territory,-25.351,131.041,Great Sandy Desert,Mackay,292,48,313,45.5343,21.9,24,21.2,34.8,21.575,33.6,0.11,Acacia,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/19467,Australia,New South Wales,-33.61745,150.73612,Sydney Basin,Cumberland,823,37,850,33.182266,17,33,17.7,26.1,17.325,25.3,0.58,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",unknown/no data
102.100.100/8497,Australia,Northern Territory,-13.553881,132.27107,Arnhem Plateau,Alligator,1320,110,1455,112.08098,21.3,9,26.9,21.7,26.879166,19.900002,0.49,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/12465,Australia,Australian Capital Territory,-35.4214,148.79855,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/401620,Australia,New South Wales,-34.1485,151.03063,Sydney Basin,Sydney Cataract,1177,27,1231,25.193079,16.2,35,17.3,19.8,16.5125,18.099998,0.8,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt tall open forests
102.100.100/12525,Australia,New South Wales,-30.201714,149.597239,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8523,Australia,Northern Territory,-12.70607,132.84315,Pine Creek,Pine Creek,1450,114,1495,113.466446,21.2,10,28.2,19.8,28.054167,18.800001,0.49,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/401567,Australia,New South Wales,-33.69329,150.72144,Sydney Basin,Cumberland,820,37,859,33.770065,17,33,17.6,26,17.4,24.5,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/9468,Australia,New South Wales,-35.423783,148.783217,Australian Alps,Snowy Mountains,1172,16,1023,16.142233,15.7,40,9.4,24.8,9.599999,24.8,0.83,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"Other grasslands, herblands, sedgelands and rushlands",Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses","Other grasslands,herblands, sedgelands and rushlands"
102.100.100/13286,Australia,Tasmania,-39.8644,143.89126,King,King,911,39,950,38.983974,14.1,51,13.5,13.4,13.445833,14.300001,0.75,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8262,Australia,Victoria,-35.11641,141.97633,Murray Darling Depression,Murray Mallee,311,26,346,20.255117,17.9,40,16.6,28,16.533333,27.4,0.29,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/15943,Australia,Tasmania,-42.38459,147.31059,Tasmanian South East,South East,523,15,556,15.481314,14.1,47,10.2,21.2,10.304167,21.5,0.63,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/9496,Australia,South Australia,-34.60901,138.8613,Flinders Lofty Block,Mount Lofty Ranges,542,49,606,48.075413,17.5,42,15.7,25.3,15.633333,24.099998,0.49,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/401577,Australia,New South Wales,-33.65123,150.79839,Sydney Basin,Cumberland,827,36,858,32.38777,17,33,17.7,25.7,17.270834,24.5,0.59,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,unknown/no data
102.100.100/9504,Australia,South Australia,-34.93343,138.727,Flinders Lofty Block,Mount Lofty Ranges,969,55,1084,56.579723,16.4,44,13.7,21.6,13.295834,19.7,0.67,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/138543,Australia,Tasmania,-41.03954,146.992477,Furneaux,Flinders,774,27,799,30.58179,14.1,49,12.9,17.5,12.891666,17.5,0.72,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt tall open forests
102.100.100/139635,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401648,Australia,New South Wales,-30.3665,152.73001,NSW North Coast,Coffs Coast and Escarpment,1551,49,1896,48.50891,16.6,26,15.7,24.1,15.1375,20.3,0.92,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/12515,Australia,New South Wales,-30.201513,149.597039,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7069,Australia,Western Australia,-22.57065,118.08065,Pilbara,Hamersley,417,94,416,86.91452,22.2,23,23.8,30.5,23.895834,31.5,0.13,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia shrublands
102.100.100/139602,Australia,Western Australia,-31.008657,118.762721,Avon Wheatbelt,Merredin,301,40,297,39.71207,19.6,34,18.6,30.5,18.545834,29.099998,0.2,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/139653,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/401561,Australia,New South Wales,-33.60955,150.88182,Sydney Basin,Cumberland,868,35,905,31.606672,17,33,17.6,25,17.145834,23.7,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/138528,Australia,Tasmania,-40.998746,147.061407,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Heathlands,Heathlands,Eucalypt tall open forests
102.100.100/12818,Australia,Queensland,-16.102983,145.447217,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/12819,Australia,Queensland,-16.103417,145.447883,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/15953,Australia,Tasmania,-42.24227,147.45971,Tasmanian South East,South East,508,14,522,16.076735,14.2,47,10.4,21.6,10.675,21.9,0.6,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401594,Australia,New South Wales,-33.74088,151.06241,Sydney Basin,Cumberland,1090,31,1182,29.487139,16.5,34,17.1,22,16.895834,21.099998,0.81,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/7077,Australia,Western Australia,-28.053145,120.545317,Murchison,Eastern Murchison,255,45,255,37.70633,21,30,21,31.9,20.779167,31.300001,0.12,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia open woodlands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia open woodlands
102.100.100/12819,Australia,Queensland,-16.103417,145.447883,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/12884,Australia,Victoria,-36.673214,145.029247,Victorian Midlands,Goldfields,524,24,582,21.44046,16.5,44,14.8,27.7,14.933333,25.9,0.52,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/139594,Australia,Western Australia,-31.010387,118.765877,Avon Wheatbelt,Merredin,302,40,297,39.71207,19.6,34,18.6,30.5,18.545834,29.099998,0.2,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12594,Australia,South Australia,-34.09934,139.84894,Riverina,Murray Scroll Belt,265,25,274,22.969757,18.4,38,16.9,28,17.083334,27.2,0.2,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/7043,Australia,Northern Territory,-23.252417,132.640367,Burt Plain,Mount Chapple,320,64,329,66.7435,22.4,21,22,32.7,23,31.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Tussock Grasslands,Mitchell grass (Astrebla) tussock grasslands,Tussock grasslands
102.100.100/401628,Australia,New South Wales,-33.2644,151.2917,Sydney Basin,Wyong,1180,34,1183,31.874548,16.4,33,16.7,20.7,16.291666,19.3,0.85,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/12489,Australia,New South Wales,-30.395,142.717778,Mulga Lands,White Cliffs Plateau,231,25,223,19.286419,20.3,32,20.5,31.6,20.329166,30.800001,0.1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"Chenopod shrublands, samphire shrubs and forblands","Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and/or Bluebush shrublands,"Chenopod shrubs,samphire shrublands and forblands"
102.100.100/9488,Australia,South Australia,-32.82851,138.0327,Flinders Lofty Block,Southern Flinders,418,37,430,29.487925,18.7,37,17.3,26.8,17.3375,24.2,0.31,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Mallee Woodlands and Shrublands,Mallee with hummock grass,Eucalypt open forests
102.100.100/12618,Australia,New South Wales,-33.652818,150.268179,Sydney Basin,Wollemi,1135,30,1267,31.644165,16.3,34,12.1,22.8,11.966666,21.9,0.89,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
